chr	start_gene	end_gene	strand_gene	gene_name	ensembl_id	gene_type
chr9	32886601	33025130	-	APTX	ENSG00000137074	protein_coding
chrX	64144872	64147052	-	ENSG00000226010	ENSG00000226010	processed_pseudogene
chr16	2471297	2474145	+	NTN3	ENSG00000162068	protein_coding
chr8	94688228	94688610	+	ENSG00000241003	ENSG00000241003	processed_pseudogene
chr5	56909260	56925532	+	SETD9	ENSG00000155542	protein_coding
chr3	50786674	50788285	-	ZNF652P1	ENSG00000235278	processed_pseudogene
chr10	32281686	32282829	+	ENSG00000226842	ENSG00000226842	lncRNA
chr20	45325288	45348424	-	SDC4	ENSG00000124145	protein_coding
chr4	184649667	184694963	+	PRIMPOL	ENSG00000164306	protein_coding
chr12	55411727	55414787	-	PHC1P1	ENSG00000179899	processed_pseudogene
chr2	154435853	154457438	-	ENSG00000224675	ENSG00000224675	lncRNA
chr6	167678180	167680362	+	ENSG00000287594	ENSG00000287594	lncRNA
chr17	58269855	58280935	-	MPO	ENSG00000005381	protein_coding
chrX	66021738	66040125	-	VSIG4	ENSG00000155659	protein_coding
chr1	23964347	23980927	-	SRSF10	ENSG00000188529	protein_coding
chr10	10960148	10970816	+	ENSG00000231496	ENSG00000231496	lncRNA
chr4	49507764	49508806	-	ENSG00000250769	ENSG00000250769	processed_pseudogene
chr16	54114697	54114878	-	ENSG00000280454	ENSG00000280454	pseudogene
chr11	121447331	121453013	-	SORL1-AS1	ENSG00000246790	lncRNA
chr18	60149576	60150365	+	RPS3AP49	ENSG00000242060	processed_pseudogene
chr19	48606742	48607714	+	SPACA4	ENSG00000177202	protein_coding
chr15	76976915	76977210	-	RN7SL278P	ENSG00000243365	misc_RNA
chr6	149951833	149952239	+	ENSG00000215094	ENSG00000215094	processed_pseudogene
chr8	107160354	107166595	+	ENSG00000287289	ENSG00000287289	lncRNA
chrY	22308859	22316205	+	RBMY2FP	ENSG00000290336	lncRNA
chr3	160753428	160755142	-	PPM1L-DT	ENSG00000260572	lncRNA
chr13	25172819	25180079	-	LINC00463	ENSG00000234056	lncRNA
chr19	21634833	21635175	-	ENSG00000271182	ENSG00000271182	processed_pseudogene
chr22	19171395	19172851	+	LINC01311	ENSG00000260924	lncRNA
chr8	93939364	93942877	-	PSMA2P2	ENSG00000251234	processed_pseudogene
chr1	89427533	89525472	-	ENSG00000286548	ENSG00000286548	lncRNA
chr1	110031577	110074641	+	STRIP1	ENSG00000143093	protein_coding
chr7	27168619	27171915	+	HOXA10-AS	ENSG00000253187	lncRNA
chr6	167237508	167240480	-	ENSG00000231720	ENSG00000231720	lncRNA
chrX	46517766	46517868	+	RNU6-50P	ENSG00000199226	snRNA
chr2	70994510	71002754	+	ENSG00000228384	ENSG00000228384	lncRNA
chr11	215030	236931	-	SIRT3	ENSG00000142082	protein_coding
chr13	41384773	41385183	-	TUBBP2	ENSG00000214222	processed_pseudogene
chr15	63890030	63890317	+	ENSG00000275785	ENSG00000275785	unprocessed_pseudogene
chr9	61581813	61582675	+	ENSG00000277109	ENSG00000277109	unprocessed_pseudogene
chr9	83596444	83596584	-	RNU4-15P	ENSG00000199483	snRNA
chrX	55633031	55635656	-	ENSG00000229594	ENSG00000229594	unprocessed_pseudogene
chr10	17845107	17845193	+	MIR511	ENSG00000207938	miRNA
chr2	218880852	218899581	+	WNT10A	ENSG00000135925	protein_coding
chr6	33079451	33079860	+	RPL32P1	ENSG00000224796	processed_pseudogene
chr1	228384114	228385016	-	ENSG00000270104	ENSG00000270104	lncRNA
chr12	55835433	55842966	-	MMP19	ENSG00000123342	protein_coding
chr15	98437162	98547728	-	FAM169BP	ENSG00000283597	transcribed_unitary_pseudogene
chr11	86791059	86952910	+	PRSS23	ENSG00000150687	protein_coding
chr7	142358639	142358917	+	TRBV8-1	ENSG00000243889	TR_V_pseudogene
chr14	106276548	106277043	-	IGHV1-24	ENSG00000211950	IG_V_gene
chrX	20124525	20141838	-	EIF1AX	ENSG00000173674	protein_coding
chr2	91759462	91767701	-	ENSG00000286698	ENSG00000286698	lncRNA
chr18	49650350	49651160	+	SMUG1P1	ENSG00000267444	processed_pseudogene
chrX	65786763	65787169	+	ENSG00000276689	ENSG00000276689	processed_pseudogene
chr4	184299129	184299640	-	MYL12BP2	ENSG00000227765	processed_pseudogene
chr8	12476462	12477122	+	ENSG00000270154	ENSG00000270154	lncRNA
chr10	5035354	5107686	+	AKR1C3	ENSG00000196139	protein_coding
chr5	132866630	132868847	+	UQCRQ	ENSG00000164405	protein_coding
chr7	50450421	50451984	+	ENSG00000290114	ENSG00000290114	lncRNA
chr7	54556970	54571726	+	VSTM2A-OT1	ENSG00000224223	lncRNA
chr20	48624252	48827999	-	PREX1	ENSG00000124126	protein_coding
chrX	18675909	18827921	+	PPEF1	ENSG00000086717	protein_coding
chr19	50365880	50369331	-	ENSG00000269392	ENSG00000269392	lncRNA
chr11	123839035	123841930	-	ENSG00000290781	ENSG00000290781	lncRNA
chr10	95659823	95694143	-	TCTN3	ENSG00000119977	protein_coding
chr3	169812870	169837773	+	LRRIQ4	ENSG00000188306	protein_coding
chr5	132873444	132875046	+	LEAP2	ENSG00000164406	protein_coding
chr7	130486171	130506465	+	MEST	ENSG00000106484	protein_coding
chr13	73407768	73408352	-	MARK2P12	ENSG00000229708	processed_pseudogene
chr11	67602880	67606706	-	NDUFV1-DT	ENSG00000184224	lncRNA
chr1	200014689	200014795	-	RNU6-609P	ENSG00000202329	snRNA
chr19	10551033	10551092	-	RNU7-140P	ENSG00000238364	snRNA
chr7	57186412	57187441	+	MTND2P6	ENSG00000237309	unprocessed_pseudogene
chr6	143386581	143387409	+	ENSG00000270655	ENSG00000270655	processed_pseudogene
chr21	27954922	27985295	+	ENSG00000234083	ENSG00000234083	lncRNA
chr10	32944481	32944999	+	AK3P5	ENSG00000228816	processed_pseudogene
chr2	219001645	219001708	-	MIR375	ENSG00000198973	miRNA
chrX	68783472	68785066	+	SERBP1P1	ENSG00000213740	processed_pseudogene
chr19	55339853	55348121	+	KMT5C	ENSG00000133247	protein_coding
chr2	112773925	112784493	-	IL1A	ENSG00000115008	protein_coding
chr15	20835372	20866314	-	POTEB2	ENSG00000230031	protein_coding
chr17	50722074	50724224	+	ENSG00000278963	ENSG00000278963	TEC
chr19	1163451	1165333	+	ENSG00000290166	ENSG00000290166	lncRNA
chr1	176463171	176845601	+	PAPPA2	ENSG00000116183	protein_coding
chr19	647526	663233	-	RNF126	ENSG00000070423	protein_coding
chr13	24408157	24597660	+	TPTE2P6	ENSG00000205822	transcribed_unprocessed_pseudogene
chr12	102217318	102217613	-	RN7SL793P	ENSG00000264554	misc_RNA
chr15	45321077	45321692	-	ENSG00000235390	ENSG00000235390	processed_pseudogene
chr10	49014236	49115522	-	VSTM4	ENSG00000165633	protein_coding
chr11	48245104	48246015	+	OR4X2	ENSG00000172208	protein_coding
chr16	72821933	72821992	-	RNU7-71P	ENSG00000251868	snRNA
chr14	91779746	91867536	-	TC2N	ENSG00000165929	protein_coding
chr11	71603260	71608040	+	UNC93B6	ENSG00000255562	transcribed_processed_pseudogene
chr3	27624202	27624456	-	RPS27P11	ENSG00000223968	processed_pseudogene
chr11	104901549	104919073	-	CASP4LP	ENSG00000291173	lncRNA
chr1	243029512	243052252	-	ENSG00000291216	ENSG00000291216	lncRNA
chr20	31581089	31581192	+	RNU6-384P	ENSG00000201770	snRNA
chr9	109498325	110172512	+	PALM2AKAP2	ENSG00000157654	protein_coding
chr14	23229961	23230116	-	ENSG00000240131	ENSG00000240131	processed_pseudogene
chr9	92000087	92115413	-	SPTLC1	ENSG00000090054	protein_coding
chr5	116218026	116218295	-	HMGN2P27	ENSG00000232916	processed_pseudogene
chr12	39550033	39619803	-	ABCD2	ENSG00000173208	protein_coding
chr12	31172906	31200478	-	ENSG00000291252	ENSG00000291252	lncRNA
chr10	110869741	110872253	-	PDCD4-AS1	ENSG00000203497	lncRNA
chr15	78863247	78863729	-	RPL21P116	ENSG00000243711	processed_pseudogene
chr17	30316333	30334059	-	TMIGD1	ENSG00000182271	protein_coding
chrX	141838316	141897832	+	MAGEC3	ENSG00000165509	protein_coding
chr9	137294935	137300189	+	ENSG00000288234	ENSG00000288234	lncRNA
chr1	150809713	150876708	-	ARNT	ENSG00000143437	protein_coding
chr16	31563082	31564783	-	FRG2KP	ENSG00000261741	transcribed_unprocessed_pseudogene
chr11	124241095	124254364	+	OR8G1	ENSG00000197849	protein_coding
chrY	20756108	20781032	+	RPS4Y2	ENSG00000280969	protein_coding
chr19	57921882	57935402	-	ZNF418	ENSG00000196724	protein_coding
chr17	28954901	29006440	-	SEZ6	ENSG00000063015	protein_coding
chr3	195635087	195640472	+	ENSG00000289929	ENSG00000289929	lncRNA
chr1	163509484	163509595	+	RNA5SP63	ENSG00000212527	rRNA_pseudogene
chr9	6532467	6645729	-	GLDC	ENSG00000178445	protein_coding
chr3	112921205	112975103	-	CD200R1	ENSG00000163606	protein_coding
chr1	155148544	155148813	+	HMGN2P18	ENSG00000223452	processed_pseudogene
chr2	218568580	218597080	+	CNOT9	ENSG00000144580	protein_coding
chr12	54830518	54896008	+	MUCL1	ENSG00000172551	protein_coding
chr5	56941307	56947152	+	ENSG00000235635	ENSG00000235635	lncRNA
chr2	227472152	227561217	+	AGFG1	ENSG00000173744	protein_coding
chrX	38484752	38485264	-	FTLP16	ENSG00000229735	processed_pseudogene
chrY	26626520	26627159	-	CCNQP2	ENSG00000231514	processed_pseudogene
chr7	38980370	39013551	-	POU6F2-AS2	ENSG00000233854	lncRNA
chr19	51184905	51190809	+	SIGLEC20P	ENSG00000268336	unprocessed_pseudogene
chr14	67240713	67336061	+	PALS1	ENSG00000072415	protein_coding
chr14	24165969	24167063	-	ENSG00000289757	ENSG00000289757	lncRNA
chr15	55202966	55319113	-	RAB27A	ENSG00000069974	protein_coding
chr15	44447577	44449344	-	HNRNPMP1	ENSG00000259335	processed_pseudogene
chr20	41382383	41383107	+	ENSG00000229398	ENSG00000229398	processed_pseudogene
chr16	49517762	49518601	-	ADAM3B	ENSG00000260089	processed_pseudogene
chr7	43117896	43163187	+	HECW1-IT1	ENSG00000181211	lncRNA
chr14	21852558	21853006	+	TRAV8-3	ENSG00000211787	TR_V_gene
chrX	147258760	147258850	-	MIR509-2	ENSG00000212013	miRNA
chr12	29389289	29487488	+	OVCH1-AS1	ENSG00000257599	lncRNA
chr9	95442980	95517057	-	PTCH1	ENSG00000185920	protein_coding
chr3	175369540	175369621	+	MIR4789	ENSG00000264974	miRNA
chr5	98338744	98339832	+	ENSG00000176183	ENSG00000176183	processed_pseudogene
chr13	100708325	101059286	+	NALCN-AS1	ENSG00000233009	lncRNA
chr16	71447600	71489311	-	ENSG00000261611	ENSG00000261611	protein_coding
chr1	170662728	170739421	+	PRRX1	ENSG00000116132	protein_coding
chr13	46460609	46461121	+	OR7E101P	ENSG00000227019	unprocessed_pseudogene
chr12	97430884	97598415	+	RMST	ENSG00000255794	lncRNA
chr15	76059958	76229121	+	TMEM266	ENSG00000169758	protein_coding
chr1	145921556	145927678	-	RBM8A	ENSG00000265241	protein_coding
chr7	142615716	142616415	+	TRBV18	ENSG00000276557	TR_V_gene
chr13	44651812	44701016	+	LINC00407	ENSG00000237585	lncRNA
chr11	57551656	57568284	-	UBE2L6	ENSG00000156587	protein_coding
chr5	160401641	160421711	-	SLU7	ENSG00000164609	protein_coding
chr19	9689924	9694892	-	ZNF812P	ENSG00000224689	transcribed_unprocessed_pseudogene
chr5	140347868	140357794	-	ENSG00000253965	ENSG00000253965	lncRNA
chr8	143437659	143541447	-	ZC3H3	ENSG00000014164	protein_coding
chr7	1428465	1459470	-	MICALL2	ENSG00000164877	protein_coding
chr5	173911682	173912938	+	ENSG00000289085	ENSG00000289085	lncRNA
chrX	82998699	82999236	+	ATG4AP1	ENSG00000232735	processed_pseudogene
chr9	477750	478423	+	RPL12P25	ENSG00000235330	transcribed_processed_pseudogene
chr16	71729000	71809201	-	AP1G1	ENSG00000166747	protein_coding
chr19	36773100	36777078	+	ENSG00000267260	ENSG00000267260	lncRNA
chr3	129001304	129040742	+	EFCC1	ENSG00000114654	protein_coding
chr19	16412684	16413576	+	ENSG00000240418	ENSG00000240418	processed_pseudogene
chr9	88129305	88138475	-	SPATA31C2	ENSG00000177910	protein_coding
chr3	126564565	126564678	-	RNA5SP138	ENSG00000201968	rRNA_pseudogene
chr12	63623788	63795718	-	ENSG00000249753	ENSG00000249753	lncRNA
chr16	33948278	33948548	-	ENSG00000261607	ENSG00000261607	unprocessed_pseudogene
chr17	67337916	67366605	-	PSMD12	ENSG00000197170	protein_coding
chr7	121440834	121441261	-	ENSG00000234985	ENSG00000234985	processed_pseudogene
chr5	68970439	68970752	-	RN7SKP251	ENSG00000276309	misc_RNA
chr22	21102984	21122286	+	ENSG00000291044	ENSG00000291044	lncRNA
chr22	18605815	18611919	-	RIMBP3	ENSG00000275793	protein_coding
chr12	25385508	25386241	-	ENSG00000278743	ENSG00000278743	lncRNA
chr15	96342953	96345651	+	ENSG00000275322	ENSG00000275322	lncRNA
chr6	89080164	89080667	-	PNRC1-DT	ENSG00000271931	lncRNA
chr16	67163385	67165815	+	ENSG00000265690	ENSG00000265690	protein_coding
chr20	63956704	63969930	-	ZNF512B	ENSG00000196700	protein_coding
chr6	53415294	53415607	-	RN7SKP256	ENSG00000253010	misc_RNA
chr11	18231355	18236802	-	SAA4	ENSG00000148965	protein_coding
chr20	4422186	4431732	-	ENSG00000236387	ENSG00000236387	lncRNA
chr5	177438503	177447982	-	PRR7-AS1	ENSG00000246334	lncRNA
chr3	72085109	72085287	+	CCDC137P2	ENSG00000239350	processed_pseudogene
chr11	14493783	14520344	-	ENSG00000256206	ENSG00000256206	protein_coding
chr3	98706236	98732757	-	ST3GAL6-AS1	ENSG00000239445	lncRNA
chr9	14850429	14850535	+	RNU6-1260P	ENSG00000199814	snRNA
chr11	3218332	3223131	+	MRGPRG-AS1	ENSG00000236301	lncRNA
chr1	44405194	44651723	+	RNF220	ENSG00000187147	protein_coding
chr12	93467514	93516214	+	MRPL42	ENSG00000198015	protein_coding
chr17	74043452	74154212	-	LINC02074	ENSG00000266357	lncRNA
chr19	9324174	9382617	+	ZNF559-ZNF177	ENSG00000270011	protein_coding
chr1	31333067	31346799	-	ENSG00000229044	ENSG00000229044	lncRNA
chr5	19035197	19038799	-	ENSG00000251487	ENSG00000251487	lncRNA
chr12	90280894	90300974	+	LINC02392	ENSG00000258183	lncRNA
chr9	85167346	85194283	+	ENSG00000285556	ENSG00000285556	lncRNA
chr15	51887560	51901123	-	ENSG00000259201	ENSG00000259201	lncRNA
chr2	186364598	186365128	+	MED28P3	ENSG00000227692	processed_pseudogene
chr12	116910950	117031148	+	FBXW8	ENSG00000174989	protein_coding
chr5	141302635	141304049	-	SLC25A2	ENSG00000120329	protein_coding
chr1	158175850	158177755	-	ELL2P1	ENSG00000227295	processed_pseudogene
chr1	27005020	27012850	-	TENT5B	ENSG00000158246	protein_coding
chrY	25464006	25473621	+	ENSG00000284380	ENSG00000284380	unprocessed_pseudogene
chr10	3223816	3227407	+	ENSG00000236968	ENSG00000236968	lncRNA
chr15	20046296	20047994	-	ENSG00000259769	ENSG00000259769	processed_pseudogene
chr16	1997654	2009821	-	ZNF598	ENSG00000167962	protein_coding
chr12	74170445	74171830	+	ENSG00000258320	ENSG00000258320	processed_pseudogene
chr5	132688681	132723725	+	ENSG00000230612	ENSG00000230612	lncRNA
chr20	23374519	23421519	-	NAPB	ENSG00000125814	protein_coding
chr7	80312574	80391474	-	ENSG00000232667	ENSG00000232667	lncRNA
chr17	7561919	7571969	+	SENP3	ENSG00000161956	protein_coding
chr2	169658132	169661357	-	ENSG00000226072	ENSG00000226072	processed_pseudogene
chr3	128785147	128785448	+	RN7SL698P	ENSG00000244232	misc_RNA
chr16	29215385	29221040	-	ENSG00000259807	ENSG00000259807	lncRNA
chrY	3549652	3549810	-	PRRC2CP1	ENSG00000216777	processed_pseudogene
chr12	71125085	71441898	-	TSPAN8	ENSG00000127324	protein_coding
chr6	31778817	31778905	-	Y_RNA	ENSG00000201555	misc_RNA
chr10	126905409	127452517	+	DOCK1	ENSG00000150760	protein_coding
chr12	42678873	42679124	-	RPS27P21	ENSG00000240759	processed_pseudogene
chr5	98954394	98954972	+	ENSG00000241597	ENSG00000241597	processed_pseudogene
chr6	36390551	36442854	-	PXT1	ENSG00000179165	protein_coding
chr1	70660657	70661265	-	CASP3P1	ENSG00000237033	processed_pseudogene
chr6	26158122	26171349	+	H2BC5	ENSG00000158373	protein_coding
chr4	145444899	145469638	-	ENSG00000286420	ENSG00000286420	lncRNA
chr17	63928738	63932336	-	CD79B	ENSG00000007312	protein_coding
chr4	39441665	39441764	+	Y_RNA	ENSG00000238797	misc_RNA
chr11	68488609	68488840	-	NDUFA3P2	ENSG00000254856	processed_pseudogene
chr3	148824782	148825387	-	HMGB1P30	ENSG00000244089	processed_pseudogene
chr19	29205320	29213151	-	UQCRFS1	ENSG00000169021	protein_coding
chr2	45651345	46187990	+	PRKCE	ENSG00000171132	protein_coding
chr1	16520694	16521796	+	ENSG00000224174	ENSG00000224174	lncRNA
chr16	80736360	80742305	+	ENSG00000260594	ENSG00000260594	lncRNA
chr19	16134028	16158575	+	HSH2D	ENSG00000196684	protein_coding
chr21	25692180	25692554	+	FDX1P2	ENSG00000227054	processed_pseudogene
chr8	79520145	79520649	+	ENSG00000253391	ENSG00000253391	processed_pseudogene
chr17	43360033	43361361	-	ENSG00000279602	ENSG00000279602	TEC
chr4	155383107	155384102	-	ENSG00000250398	ENSG00000250398	processed_pseudogene
chr3	126006357	126101561	-	SLC41A3	ENSG00000114544	protein_coding
chr6	166858094	166956124	-	ENSG00000249141	ENSG00000249141	protein_coding
chr9	87930405	87939270	-	ENSG00000289459	ENSG00000289459	lncRNA
chr4	154790291	154790484	+	RNU2-44P	ENSG00000252604	snRNA
chr4	69841212	69860145	-	SULT1E1	ENSG00000109193	protein_coding
chr17	508503	721717	-	VPS53	ENSG00000141252	protein_coding
chr9	73474378	73476073	-	DPP3P2	ENSG00000221844	processed_pseudogene
chrX	102806164	102806646	-	MTND6P32	ENSG00000227649	processed_pseudogene
chr9	136263925	136267237	+	ENSG00000283769	ENSG00000283769	lncRNA
chr10	129621988	129626664	-	ENSG00000287466	ENSG00000287466	lncRNA
chr2	169790093	169790885	+	CYB5AP2	ENSG00000214369	processed_pseudogene
chr6	32150495	32154373	-	ENSG00000285085	ENSG00000285085	protein_coding
chr19	1392170	1396467	-	ENSG00000248015	ENSG00000248015	lncRNA
chr10	37976825	37992467	+	ZNF25-DT	ENSG00000226447	lncRNA
chr19	22596337	22603430	+	GOLGA2P9	ENSG00000269332	transcribed_unprocessed_pseudogene
chr7	5970925	6009130	-	PMS2	ENSG00000122512	protein_coding
chr16	56940278	56941342	+	ENSG00000261270	ENSG00000261270	lncRNA
chr22	16671090	16679493	-	ANKRD62P1	ENSG00000259271	transcribed_unprocessed_pseudogene
chr4	118400514	118400834	-	NDUFS5P5	ENSG00000230671	processed_pseudogene
chr12	119667864	119681624	+	PRKAB1	ENSG00000111725	protein_coding
chr15	31420128	31420662	+	UBE2CP4	ENSG00000259179	processed_pseudogene
chr8	101871830	101872549	-	PDCL3P2	ENSG00000282989	processed_pseudogene
chrX	152769764	152792268	+	MAGEA6-DT	ENSG00000286051	lncRNA
chrX	135180255	135194679	-	ENSG00000236491	ENSG00000236491	unprocessed_pseudogene
chr12	131366660	131371059	+	ENSG00000256484	ENSG00000256484	lncRNA
chrX	151694607	151705924	+	PRRG3	ENSG00000130032	protein_coding
chr1	148388490	148388651	-	RNVU1-2	ENSG00000238825	snRNA
chr22	30971005	30971149	+	ENSG00000276664	ENSG00000276664	misc_RNA
chr10	79982910	79983240	-	DPY19L2P5	ENSG00000225100	processed_pseudogene
chr21	25928754	25952614	+	ENSG00000233783	ENSG00000233783	lncRNA
chr15	25180497	25180578	+	SNORD115-6	ENSG00000200812	snoRNA
chr14	105300563	105398147	+	PACS2	ENSG00000179364	protein_coding
chr13	53815419	53939960	+	LINC00558	ENSG00000261517	lncRNA
chr2	21123968	21144368	+	TDRD15	ENSG00000218819	protein_coding
chr19	22742924	22743410	-	VN1R87P	ENSG00000268789	unprocessed_pseudogene
chr4	171289475	171298267	-	LINC02504	ENSG00000248339	lncRNA
chr1	20633679	20633788	+	MIR6084	ENSG00000284005	miRNA
chr10	60944378	60945270	+	ENSG00000289989	ENSG00000289989	lncRNA
chr22	22858025	22858268	+	IGLV3-4	ENSG00000226420	IG_V_pseudogene
chr4	168828919	168832937	-	ENSG00000249609	ENSG00000249609	lncRNA
chr17	7754320	7754976	+	RPL29P2	ENSG00000240480	transcribed_processed_pseudogene
chr8	90621995	90791632	-	TMEM64	ENSG00000180694	protein_coding
chr16	67019519	67019817	+	RN7SL543P	ENSG00000265918	misc_RNA
chr4	16360686	16397323	-	ZEB2P1	ENSG00000249506	transcribed_processed_pseudogene
chr5	132410832	132646079	+	ENSG00000283782	ENSG00000283782	protein_coding
chr10	10174230	10174577	+	ELOCP3	ENSG00000229919	processed_pseudogene
chr16	71991151	71991305	-	RPL39P31	ENSG00000242176	processed_pseudogene
chr3	48997221	48999442	-	ENSG00000285416	ENSG00000285416	unitary_pseudogene
chr13	77326905	77326988	-	ENSG00000288716	ENSG00000288716	protein_coding
chr2	56235217	56235330	-	RNA5SP93	ENSG00000199395	rRNA_pseudogene
chr5	141234551	141236918	+	PCDHB18P	ENSG00000146001	transcribed_unprocessed_pseudogene
chr1	89661212	89661353	-	ENSG00000226394	ENSG00000226394	processed_pseudogene
chr6	34877462	34889192	-	TAF11	ENSG00000064995	protein_coding
chr6	57855891	57856468	-	ENSG00000272541	ENSG00000272541	lncRNA
chr8	53851795	53959303	+	RGS20	ENSG00000147509	protein_coding
chr6	71403551	71403621	-	MIR30A	ENSG00000207827	miRNA
chr12	90617759	90808748	-	ENSG00000288102	ENSG00000288102	lncRNA
chr9	106722350	106722930	+	ENSG00000228143	ENSG00000228143	processed_pseudogene
chr5	156924119	156924710	+	APOOP1	ENSG00000270560	processed_pseudogene
chr1	67656831	67657129	-	RN7SL392P	ENSG00000242482	misc_RNA
chr19	18386562	18386634	+	MIR3189	ENSG00000264175	miRNA
chr5	179522457	179525074	+	ENSG00000251545	ENSG00000251545	unprocessed_pseudogene
chr1	210328252	210676296	+	HHAT	ENSG00000054392	protein_coding
chr1	30931506	31065991	-	PUM1	ENSG00000134644	protein_coding
chr1	151510510	151538692	+	CGN	ENSG00000143375	protein_coding
chr14	75335955	75341366	+	ENSG00000289844	ENSG00000289844	lncRNA
chr2	10446714	10446849	-	SNORA80B	ENSG00000206633	snoRNA
chr10	73346936	73347048	+	Y_RNA	ENSG00000207473	misc_RNA
chr5	97336858	97337040	-	ENSG00000249761	ENSG00000249761	processed_pseudogene
chr10	49121839	49151547	+	FAM170B-AS1	ENSG00000234736	lncRNA
chr7	46673785	46759851	-	ENSG00000233539	ENSG00000233539	lncRNA
chr6	102078872	102079555	+	ENSG00000218536	ENSG00000218536	processed_pseudogene
chr10	97393197	97393547	-	RPL34P20	ENSG00000231508	processed_pseudogene
chr6	132608225	132609302	-	TAAR3P	ENSG00000290584	lncRNA
chr3	184710364	184712064	-	MAGEF1	ENSG00000177383	protein_coding
chr6	34263311	34263673	-	RPL35P2	ENSG00000220583	processed_pseudogene
chr1	237004103	237004441	-	MT1HL1	ENSG00000244020	protein_coding
chr2	119679167	119686507	+	TMEM177	ENSG00000144120	protein_coding
chr11	72002864	72080693	-	NUMA1	ENSG00000137497	protein_coding
chr10	37337415	37338871	+	TMEM161BP1	ENSG00000237970	processed_pseudogene
chr11	7088998	7091148	+	RBMXL2	ENSG00000170748	protein_coding
chr17	757097	782294	-	GLOD4	ENSG00000167699	protein_coding
chr17	20323001	20323110	+	RNU6-467P	ENSG00000276577	snRNA
chr17	50627032	50631940	-	ENSG00000251239	ENSG00000251239	lncRNA
chr10	94278681	94287478	-	PLCE1-AS1	ENSG00000268894	lncRNA
chr5	141370242	141512975	+	PCDHGB3	ENSG00000262209	protein_coding
chr15	48645951	48652016	+	FBN1-DT	ENSG00000259705	lncRNA
chr10	80131682	80145359	+	PLAC9	ENSG00000189129	protein_coding
chr21	43865223	43987592	+	AGPAT3	ENSG00000160216	protein_coding
chr16	29467161	29467578	+	ENSG00000290679	ENSG00000290679	lncRNA
chr3	130099258	130111472	-	FAM86HP	ENSG00000253540	transcribed_unprocessed_pseudogene
chr11	114400030	114414203	+	RBM7	ENSG00000076053	protein_coding
chr17	1829702	1900082	+	RPA1	ENSG00000132383	protein_coding
chr7	56603410	56603553	+	ENSG00000271047	ENSG00000271047	processed_pseudogene
chrX	155828585	155829576	-	AMD1P2	ENSG00000237801	processed_pseudogene
chr2	85332895	85332996	-	Y_RNA	ENSG00000239143	misc_RNA
chr14	75814502	75847698	-	ENSG00000259103	ENSG00000259103	lncRNA
chr15	28362796	28365731	-	MPHOSPH10P7	ENSG00000261497	unprocessed_pseudogene
chr11	28516832	28519341	+	ENSG00000254606	ENSG00000254606	lncRNA
chr17	3896592	3916476	-	P2RX1	ENSG00000108405	protein_coding
chrX	15646167	15646875	-	ENSG00000237539	ENSG00000237539	processed_pseudogene
chr3	145523538	145524415	+	LARP7P4	ENSG00000244024	processed_pseudogene
chr16	27687182	27687522	+	ENSG00000273553	ENSG00000273553	lncRNA
chr19	39083913	39111493	+	ACP7	ENSG00000183760	protein_coding
chr7	142563740	142564245	+	TRBV12-4	ENSG00000276953	TR_V_gene
chr18	7455844	7461135	-	ENSG00000286126	ENSG00000286126	lncRNA
chr19	10333436	10336248	+	ENSG00000274425	ENSG00000274425	lncRNA
chr1	186176814	186177302	-	ENSG00000224691	ENSG00000224691	lncRNA
chr14	19999913	20004760	+	OR4Q2	ENSG00000196383	protein_coding
chr17	58148384	58159585	+	OR4D1	ENSG00000141194	protein_coding
chr9	63703065	63703755	+	ENSG00000234042	ENSG00000234042	processed_pseudogene
chr8	109777912	109782288	+	ENSG00000255099	ENSG00000255099	processed_pseudogene
chr16	47760780	47760921	-	ENSG00000260497	ENSG00000260497	processed_pseudogene
chr10	94774156	94774633	-	MTND4P19	ENSG00000230338	processed_pseudogene
chr4	27917753	27943065	+	ENSG00000287389	ENSG00000287389	lncRNA
chr17	3377527	3377602	-	OR1AC1P	ENSG00000267129	unprocessed_pseudogene
chr8	73277364	73278046	-	PRXL2AP2	ENSG00000254213	processed_pseudogene
chr3	49683947	49689501	-	MST1	ENSG00000173531	protein_coding
chr1	110032295	110034474	-	ENSG00000291326	ENSG00000291326	lncRNA
chr7	74774011	74789315	+	NCF1	ENSG00000158517	protein_coding
chr5	181195496	181203103	+	TRIM7-AS1	ENSG00000250900	lncRNA
chr5	102664610	102726598	+	ENSG00000286338	ENSG00000286338	lncRNA
chr2	208121607	208124524	-	CRYGD	ENSG00000118231	protein_coding
chr19	19254748	19273369	-	ENSG00000267629	ENSG00000267629	lncRNA
chr2	31865060	32011230	-	MEMO1	ENSG00000162959	protein_coding
chr22	24644791	24650832	+	ENSG00000284128	ENSG00000284128	transcribed_unprocessed_pseudogene
chr10	38391983	38399730	-	SEPTIN7P9	ENSG00000120555	transcribed_unprocessed_pseudogene
chr11	87815035	87816157	-	MTCYBP41	ENSG00000254650	processed_pseudogene
chr5	151380341	151382381	+	ENSG00000271494	ENSG00000271494	processed_pseudogene
chr3	23613661	23613759	-	RNU6-922P	ENSG00000252562	snRNA
chr1	16514122	16514285	-	RNU1-1	ENSG00000206652	snRNA
chr4	105145875	105279816	+	TET2	ENSG00000168769	protein_coding
chr3	53333060	53333128	-	SNORD38C	ENSG00000207109	snoRNA
